2022-11-01 06:11:33.0896 [INFO; Root]  Collision Updated
2022-11-01 06:11:33.1047 [INFO; Root]  Collision Updated
2022-11-01 06:11:33.1202 [INFO; Root]  Collision Updated
2022-11-01 06:11:33.1357 [INFO; Root]  Collision Updated
2022-11-01 06:11:33.1512 [INFO; Root]  Collision Updated
2022-11-01 06:11:33.1668 [INFO; Root]  Collision Updated
2022-11-01 06:11:33.1828 [INFO; Root]  Collision Updated
2022-11-01 06:11:33.1984 [INFO; Root]  Collision Updated
2022-11-01 06:11:33.2134 [INFO; Root]  Collision Updated
2022-11-01 06:11:33.2294 [INFO; Root]  Collision Updated
2022-11-01 06:11:33.2449 [INFO; Root]  Collision Updated
2022-11-01 06:11:33.2604 [INFO; Root]  collision Lost
2022-11-01 06:11:34.0991 [INFO; Root]  Collision StartedTrue   False
2022-11-01 06:11:34.1147 [INFO; Root]  Collision Updated
2022-11-01 06:11:34.1298 [INFO; Root]  Collision Updated
2022-11-01 06:11:34.1453 [INFO; Root]  Collision Updated
2022-11-01 06:11:34.1608 [INFO; Root]  collision Lost
2022-11-01 06:11:34.7978 [INFO; Root]  OnOverlap
2022-11-01 06:11:35.6834 [INFO; Root]  OnOverlap
2022-11-01 06:11:36.1796 [INFO; Root]  OnOverlap
2022-11-01 06:11:36.5365 [INFO; Root]  OnOverlap
2022-11-01 06:11:38.6020 [INFO; Root]  OnOverlap
2022-11-01 06:11:39.4852 [INFO; Root]  OnOverlap
2022-11-01 06:11:40.6203 [INFO; Root]  OnOverlap
2022-11-01 06:11:41.3334 [INFO; Root]  OnOverlap
2022-11-01 06:11:42.2807 [INFO; Root]  cluster food
2022-11-01 06:11:42.4048 [INFO; Root]  cluster food
2022-11-01 06:11:42.5141 [INFO; Root]  cluster food
2022-11-01 06:11:42.6384 [INFO; Root]  cluster food
2022-11-01 06:11:42.7472 [INFO; Root]  cluster food
2022-11-01 06:11:42.8700 [INFO; Root]  cluster food
2022-11-01 06:11:42.9457 [INFO; Root]  Client(id = 1, address = 127.0.0.1:60671) disconnected: 2-End of file
2022-11-01 06:11:42.9487 [INFO; Root]  Player 1 left
2022-11-01 06:11:42.9804 [INFO; Root]  cluster food
2022-11-01 06:11:43.1033 [INFO; Root]  cluster food
2022-11-01 06:11:43.2122 [INFO; Root]  cluster food
2022-11-01 06:11:43.3350 [INFO; Root]  cluster food
2022-11-01 06:11:43.4439 [INFO; Root]  cluster food
2022-11-01 06:11:43.5680 [INFO; Root]  cluster food
2022-11-01 06:11:43.6750 [INFO; Root]  cluster food
2022-11-01 06:11:43.7994 [INFO; Root]  cluster food
2022-11-01 06:11:43.9074 [INFO; Root]  cluster food
2022-11-01 06:11:44.0309 [INFO; Root]  cluster food
2022-11-01 06:11:44.1558 [INFO; Root]  cluster food
2022-11-01 06:11:44.2650 [INFO; Root]  cluster food
2022-11-01 06:11:44.3882 [INFO; Root]  cluster food
2022-11-01 06:11:44.4966 [INFO; Root]  cluster food
2022-11-01 06:11:44.6200 [INFO; Root]  cluster food
2022-11-01 06:11:44.7286 [INFO; Root]  cluster food
2022-11-01 06:11:44.8531 [INFO; Root]  cluster food
2022-11-01 06:11:44.9591 [INFO; Root]  cluster food
2022-11-01 06:11:45.0844 [INFO; Root]  cluster food
2022-11-01 06:11:45.1904 [INFO; Root]  cluster food
2022-11-01 06:11:45.3150 [INFO; Root]  cluster food
2022-11-01 06:11:45.4242 [INFO; Root]  cluster food
2022-11-01 06:11:45.5480 [INFO; Root]  cluster food
2022-11-01 06:11:45.6725 [INFO; Root]  cluster food
2022-11-01 06:11:45.7799 [INFO; Root]  cluster food
2022-11-01 06:11:45.9034 [INFO; Root]  cluster food
2022-11-01 06:11:46.0109 [INFO; Root]  cluster food
